subj_idx,block,trial,Vstim,Astim,match,response,result,rt,fb,V-file,A-file
2,1,2,3,2,0,1,1,1.205,1,<U+10A1>,DEU_n.wav
2,1,3,2,1,0,1,1,0.876,1,<U+10A2>,DEU_u_short_1.wav
2,1,4,3,3,1,2,1,1.069,1,<U+10A1>,DEU_f.wav
2,1,5,2,1,0,1,1,0.796,1,<U+10A2>,DEU_u_short_1.wav
2,1,6,3,3,1,2,1,1.011,1,<U+10A1>,DEU_f.wav
2,1,7,2,2,1,2,1,0.914,1,<U+10A2>,DEU_n.wav
2,1,9,1,1,1,2,1,1.166,1,<U+10BC>,DEU_u_short_1.wav
2,1,10,3,3,1,2,1,0.877,1,<U+10A1>,DEU_f.wav
2,1,11,1,1,1,2,1,0.994,1,<U+10BC>,DEU_u_short_1.wav
2,1,12,2,1,0,1,1,1.024,1,<U+10A2>,DEU_u_short_1.wav
2,1,13,1,1,1,2,1,0.701,1,<U+10BC>,DEU_u_short_1.wav
2,1,14,2,2,1,2,1,1.062,1,<U+10A2>,DEU_n.wav
2,1,15,1,3,0,1,1,1.822,1,<U+10BC>,DEU_f.wav
2,1,16,2,2,1,2,1,0.923,1,<U+10A2>,DEU_n.wav
2,1,18,2,2,1,2,1,1.024,1,<U+10A2>,DEU_n.wav
2,1,19,1,3,0,1,1,0.954,1,<U+10BC>,DEU_f.wav
2,1,20,3,3,1,2,1,0.917,1,<U+10A1>,DEU_f.wav
2,1,21,1,3,0,1,1,0.937,1,<U+10BC>,DEU_f.wav
2,1,22,3,3,1,2,1,0.926,1,<U+10A1>,DEU_f.wav
2,1,23,1,1,1,2,1,1.085,1,<U+10BC>,DEU_u_short_1.wav
2,1,24,2,1,0,1,1,0.598,1,<U+10A2>,DEU_u_short_1.wav
2,1,25,1,3,0,1,1,0.776,1,<U+10BC>,DEU_f.wav
2,1,26,2,2,1,2,1,1.198,1,<U+10A2>,DEU_n.wav
2,1,27,3,2,0,1,1,1.311,1,<U+10A1>,DEU_n.wav
2,1,28,1,3,0,1,1,0.735,1,<U+10BC>,DEU_f.wav
2,1,29,3,2,0,1,1,1.428,1,<U+10A1>,DEU_n.wav
2,1,30,1,1,1,2,1,1.095,1,<U+10BC>,DEU_u_short_1.wav
2,2,1,2,1,0,1,1,1.08,1,<U+10C1>,DEU_p.wav
2,2,2,1,1,1,2,1,0.866,1,<U+10A3>,DEU_p.wav
2,2,3,3,2,0,1,1,1.543,1,<U+10BF>,DEU_i_1.wav
2,2,4,1,3,0,2,0,1.944,0,<U+10A3>,DEU_g.wav
2,2,5,3,2,0,1,1,0.942,1,<U+10BF>,DEU_i_1.wav
2,2,6,1,3,0,1,1,0.841,1,<U+10A3>,DEU_g.wav
2,2,7,3,2,0,1,1,0.683,1,<U+10BF>,DEU_i_1.wav
2,2,8,2,1,0,1,1,0.652,1,<U+10C1>,DEU_p.wav
2,2,9,3,3,1,2,1,0.682,1,<U+10BF>,DEU_g.wav
2,2,10,2,1,0,1,1,0.936,1,<U+10C1>,DEU_p.wav
2,2,11,1,1,1,1,0,1.1,0,<U+10A3>,DEU_p.wav
2,2,12,3,3,1,2,1,0.861,1,<U+10BF>,DEU_g.wav
2,2,13,1,3,0,2,0,1.172,0,<U+10A3>,DEU_g.wav
2,2,14,3,3,1,2,1,1.052,1,<U+10BF>,DEU_g.wav
2,2,15,1,1,1,2,1,0.867,1,<U+10A3>,DEU_p.wav
2,2,16,3,3,1,2,1,1.016,1,<U+10BF>,DEU_g.wav
