subj_idx,block,trial,vStims,aStim,resp,rt,fb,iti,feedJitter,vSymbols,aFile,stimOnset,respOnset,feedbackOnset
2x3-01,2,13,1_3,3,2,1.249,1,2872,2016,df,norm_k.wav,128974,130223,133018
2x3-01,2,14,3_1,1,1,1.677,0,3569,2011,fd,norm_f.wav,138622,140299,142664
2x3-01,2,15,1_2,1,2,1.02,0,2760,1421,de,norm_f.wav,147448,148468,150892
2x3-01,2,16,2_1,1,1,0.848,0,2990,2175,ed,norm_f.wav,155913,156761,160114
2x3-01,2,17,1_3,1,1,1.996,1,3332,1124,df,norm_f.wav,165473,167469,168631
2x3-01,2,18,1_2,2,0,0,2,3374,1211,de,norm_e.wav,174032,0,177270
2x3-01,2,19,3_1,3,1,1.244,1,2097,1346,fd,norm_k.wav,181407,182651,184789
2x3-01,2,20,1_2,2,0,0,2,3162,1584,de,norm_e.wav,189990,0,193612
2x3-01,2,21,3_1,1,2,0.732,1,4089,998,fd,norm_f.wav,199735,200467,202777
2x3-01,2,22,3_2,3,1,1.163,1,3788,2549,fe,norm_k.wav,208602,209765,213180
2x3-01,2,23,2_3,3,1,1.224,0,2301,1588,ef,norm_k.wav,217516,218740,221153
2x3-01,2,24,2_1,1,1,0.529,0,2685,1333,ed,norm_f.wav,225868,226397,229250
2x3-02,1,1,1_3,1,0,0,2,3164,1861,ac,norm_s.wav,17001,0,20897
2x3-02,1,2,2_3,3,0,0,2,1752,1857,bc,norm_d.wav,24689,0,28577
2x3-02,1,3,2_1,1,0,0,2,2398,1733,ba,norm_s.wav,33003,0,36788
2x3-02,1,4,2_1,1,2,1.918,1,2760,1584,ba,norm_s.wav,41591,43509,45198
2x3-02,1,5,1_3,3,1,0.853,0,3082,1850,ac,norm_d.wav,50314,51167,54199
2x3-02,1,6,3_1,3,1,1.498,1,3440,2482,ca,norm_d.wav,59673,61171,64182
2x3-02,1,7,2_3,2,0,0,2,2872,2549,bc,norm_a.wav,69090,0,73684
2x3-02,1,8,2_3,2,1,1.589,1,4089,2175,bc,norm_a.wav,79809,81398,84012
2x3-02,1,9,1_2,2,2,1.22,1,3332,1421,ab,norm_a.wav,89370,90590,92826
2x3-02,1,10,1_3,1,1,1.905,1,2301,2253,ac,norm_s.wav,97157,99062,101442
2x3-02,1,11,3_2,2,2,1.881,1,2990,2140,cb,norm_a.wav,106464,108345,110631
2x3-02,1,12,1_2,1,1,1.263,1,3221,1211,ab,norm_s.wav,115880,117143,119120
2x3-02,1,13,3_1,3,0,0,2,3162,998,ca,norm_d.wav,124305,0,127359
2x3-02,1,14,2_1,2,1,1.973,1,3569,2350,ba,norm_a.wav,132964,134937,137345
2x3-02,1,15,3_2,2,2,1.049,1,3788,2016,cb,norm_a.wav,143167,144216,147212
2x3-02,1,16,3_2,3,2,1.807,0,2097,1588,cb,norm_d.wav,151345,153152,154969
2x3-02,1,17,2_3,3,2,1.182,1,2873,1346,bc,norm_d.wav,159872,161054,163245
2x3-02,1,18,1_2,2,1,1.199,0,3043,1333,ab,norm_a.wav,168326,169525,171683
2x3-02,1,19,1_3,3,0,0,2,2685,1869,ac,norm_d.wav,176403,0,180304
2x3-02,1,20,3_2,3,0,0,2,2286,2011,cb,norm_d.wav,184622,0,188664
2x3-02,1,21,3_1,1,2,1.737,1,2863,1510,ca,norm_s.wav,193550,195287,197097
2x3-02,1,22,3_1,1,2,1.889,1,2720,1124,ca,norm_s.wav,201842,203731,204996
2x3-02,1,23,2_1,2,1,1.157,1,2608,2563,ba,norm_a.wav,209631,210788,214219
2x3-02,1,24,1_2,1,1,1.033,1,3374,1823,ab,norm_s.wav,219632,220665,223498
2x3-02,2,1,1_3,3,2,0.948,1,2720,2253,df,norm_f.wav,18621,19569,22922
2x3-02,2,2,3_1,3,1,1.073,1,3221,1346,fd,norm_f.wav,28175,29248,31550
2x3-02,2,3,2_3,3,2,0.91,1,3374,1861,ef,norm_f.wav,36946,37856,40833
2x3-02,2,4,3_2,2,2,1.152,1,3164,2140,fe,norm_e.wav,46020,47172,50197
2x3-02,2,5,2_1,2,2,1.825,0,3788,1421,ed,norm_e.wav,56012,57837,59462
2x3-02,2,6,3_2,2,0,0,2,2872,2350,fe,norm_e.wav,64364,0,68743
2x3-02,2,7,2_3,2,1,1.193,1,2873,1850,ef,norm_e.wav,73650,74843,77527
2x3-02,2,8,1_3,1,1,1.232,1,1752,1124,df,norm_k.wav,81314,82546,84469
2x3-02,2,9,3_2,3,1,1.272,1,2608,1869,fe,norm_f.wav,89104,90376,93015
2x3-02,2,10,2_3,2,1,1.195,1,3162,2011,ef,norm_e.wav,98210,99405,102242
2x3-02,2,11,1_2,1,0,0,2,2301,1510,de,norm_k.wav,106567,0,110109
2x3-02,2,12,2_1,2,2,1.464,0,3440,1211,ed,norm_e.wav,115573,117037,118811
2x3-02,2,13,1_3,3,2,1.082,1,2863,998,df,norm_f.wav,123698,124780,126733
2x3-02,2,14,3_1,1,2,1.085,1,2097,1584,fd,norm_k.wav,130866,131951,134487
2x3-02,2,15,1_2,1,0,0,2,2398,1857,de,norm_k.wav,138919,0,142811
2x3-02,2,16,2_1,1,1,1.373,0,3043,1733,ed,norm_k.wav,147881,149254,151638
2x3-02,2,17,1_3,1,1,1.356,1,2990,2563,df,norm_k.wav,156663,158019,161253
2x3-02,2,18,1_2,2,2,1.974,1,2760,1823,de,norm_e.wav,166051,168025,169898
2x3-02,2,19,3_1,3,0,0,2,3082,2482,fd,norm_f.wav,175008,0,179525
2x3-02,2,20,1_2,2,0,0,2,3569,1588,de,norm_e.wav,185130,0,188749
2x3-02,2,21,3_1,1,2,1.205,1,4089,2549,fd,norm_k.wav,194868,196073,199461
2x3-02,2,22,3_2,3,1,1.731,1,3332,2175,fe,norm_f.wav,204829,206560,209039
2x3-02,2,23,2_3,3,2,1.423,1,2685,2016,ef,norm_f.wav,213750,215173,217798
2x3-02,2,24,2_1,1,0,0,2,2286,1333,ed,norm_k.wav,222119,0,225483
2x3-03,1,1,1_3,1,1,0.82,1,2873,2563,ac,norm_a.wav,17240,18060,21881
2x3-03,1,2,2_3,3,2,1.601,1,2685,1850,bc,norm_s.wav,26638,28239,30520
2x3-03,1,3,2_1,1,1,1.139,0,1752,1346,ba,norm_a.wav,34306,35445,37717
2x3-03,1,4,2_1,1,2,1.054,1,3569,1211,ba,norm_a.wav,43324,44378,46567
2x3-03,1,5,1_3,3,1,1.007,0,2608,998,ac,norm_s.wav,51198,52205,54238
2x3-03,1,6,3_1,3,1,0.945,1,3440,1588,ca,norm_s.wav,59714,60659,63329
2x3-03,1,7,2_3,2,2,1.298,0,2760,2549,bc,norm_d.wav,68136,69434,72725
2x3-03,1,8,2_3,2,1,1.001,1,3164,1584,bc,norm_d.wav,77924,78925,81545
2x3-03,1,9,1_2,2,1,0.973,0,3332,1124,ab,norm_d.wav,86911,87884,90069
2x3-03,1,10,1_3,1,2,0.944,0,2097,2175,ac,norm_a.wav,94194,95138,98405
2x3-03,1,11,3_2,2,2,1.085,1,3788,1869,cb,norm_d.wav,104219,105304,108117
2x3-03,1,12,1_2,1,1,1.483,1,2990,2482,ab,norm_a.wav,113139,114622,117665
2x3-03,1,13,3_1,3,1,1.055,1,2286,2140,ca,norm_s.wav,121987,123042,126157
2x3-03,1,14,2_1,2,1,0.974,1,2720,2253,ba,norm_d.wav,130905,131879,135205
2x3-03,1,15,3_2,2,2,1.123,1,2863,2016,cb,norm_d.wav,140100,141223,144170
2x3-03,1,16,3_2,3,1,1.23,1,2301,1510,cb,norm_s.wav,148506,149736,152065
2x3-03,1,17,2_3,3,2,0.956,1,2398,2011,bc,norm_s.wav,156487,157443,160534
2x3-03,1,18,1_2,2,1,1.057,0,3082,1733,ab,norm_d.wav,165639,166696,169407
2x3-03,1,19,1_3,3,2,1.03,1,3162,1823,ac,norm_s.wav,174604,175634,178465
2x3-03,1,20,3_2,3,1,0.831,1,3221,1857,cb,norm_s.wav,183714,184545,187601
2x3-03,1,21,3_1,1,2,1.05,1,3374,1421,ca,norm_a.wav,193002,194052,196449
2x3-03,1,22,3_1,1,1,0.905,0,2872,1333,ca,norm_a.wav,201351,202256,204712
2x3-03,1,23,2_1,2,1,0.971,1,4089,2350,ba,norm_d.wav,210836,211807,215214
2x3-03,1,24,1_2,1,2,1.166,0,3043,1861,ab,norm_a.wav,220292,221458,224177
2x3-03,2,1,1_3,3,1,0.773,0,3043,1584,df,norm_f.wav,16857,17630,20470
2x3-03,2,2,3_1,3,1,0.952,1,3162,1733,fd,norm_f.wav,25665,26617,29453
2x3-03,2,3,2_3,3,2,1.027,1,3440,998,ef,norm_f.wav,34928,35955,37953
2x3-03,2,4,3_2,2,2,1.295,1,2286,2350,fe,norm_k.wav,42292,43587,46673
