subjID,block,trial,vStim1,vStim2,aStim,resp,RT,fb,vStimNassoc,stimOnset,respOnset,feedbackOnset,pe,delta,drift,assoc_active,assoc_inactive
biokurs19-03,2,78,10,12,12,2,0.671,1,10,352214,352885,356746,0.186739831915674,1.0708332696015,1.32990482522159,0.813260168084326,0.911199912875813
biokurs19-03,3,79,21,24,21,2,1.022,0,24,7159,8181,11206,-0.5,0.620967270524053,0.771200702124187,0.5,0.5
biokurs19-03,3,80,23,20,20,2,1.22,1,23,16090,17310,20790,0.5,0.620967270524053,0.771200702124187,0.5,0.5
biokurs19-03,3,81,18,24,18,2,1.811,0,24,25529,27340,29723,-0.5,0.642701124992395,0.798192726698534,0.5,0.535
biokurs19-03,3,82,24,17,17,1,1.443,0,24,34913,36356,39487,-0.5,0.662913609647952,0.823295309552675,0.5,0.56755
biokurs19-03,3,83,18,22,18,2,1.893,0,22,43954,45847,47306,-0.535,0.642701124992395,0.798192726698534,0.535,0.5
biokurs19-03,3,84,19,21,21,1,1.214,0,19,52385,53599,56411,-0.535,0.642701124992395,0.798192726698534,0.535,0.5
biokurs19-03,3,85,22,20,20,2,1.464,1,22,62005,63469,65874,0.465,0.664434979460736,0.82518475127288,0.535,0.535
biokurs19-03,3,86,19,17,17,2,1.786,1,19,70757,72543,75060,0.465,0.664434979460736,0.82518475127288,0.535,0.535
biokurs19-03,3,87,23,19,19,1,1.396,0,23,79371,80767,83120,-0.57245,0.687690203741862,0.854066217567431,0.57245,0.535
biokurs19-03,3,88,18,19,18,1,1.666,1,19,87746,89412,92082,0.42755,0.735828518003792,0.91385085279715,0.57245,0.6125215
biokurs19-03,3,89,19,20,20,2,1.322,1,19,96858,98180,100862,0.43245,0.759410684657685,0.943138360117373,0.56755,0.655398005
biokurs19-03,3,90,19,24,19,1,1.663,1,24,105073,106736,108943,0.29872413465,0.806696945106377,1.0018648002856,0.70127586535,0.5978215
biokurs19-03,3,91,21,17,21,1,1.184,1,17,123115,124299,126648,0.42755,0.70790268839742,0.879168800421573,0.57245,0.56755
biokurs19-03,3,92,18,23,18,1,1.44,1,23,131224,132664,134456,0.3976215,0.726487307353299,0.902249680635097,0.6023785,0.56755
biokurs19-03,3,93,19,17,19,2,1.216,0,17,147635,148851,151515,-0.7221865547755,0.825554286321052,1.02528438369244,0.7221865547755,0.6072785
