"","BIRD_C_corrStay_B1","BIRD_C_corrStay_B2","BIRD_C_corrStay_B3","BIRD_C_corrStay_B4","BIRD_C_corrShift_B1","BIRD_C_corrShift_B2","BIRD_C_corrShift_B3","BIRD_C_corrShift_B4","BIRD_C_incorrStay_B1","BIRD_C_incorrStay_B2","BIRD_C_incorrStay_B3","BIRD_C_incorrStay_B4","BIRD_C_incorrShift_B1","BIRD_C_incorrShift_B2","BIRD_C_incorrShift_B3","BIRD_C_incorrShift_B4"
"s025",0.291666666666667,0.5,0.895833333333333,0.75,0.145833333333333,0.166666666666667,0.0625,0.0833333333333333,0.4375,0.177083333333333,0,0.0729166666666667,0.125,0.15625,0.0416666666666667,0.09375
"s027",0.833333333333333,0.791666666666667,0.854166666666667,0.395833333333333,0.0729166666666667,0.0833333333333333,0.0625,0.197916666666667,0.0104166666666667,0.0208333333333333,0.0208333333333333,0.177083333333333,0.0729166666666667,0.0833333333333333,0.0520833333333333,0.197916666666667
"s028",0.635416666666667,0.229166666666667,0.447916666666667,0.239583333333333,0.135416666666667,0.21875,0.114583333333333,0.25,0.104166666666667,0.34375,0.322916666666667,0.25,0.114583333333333,0.208333333333333,0.104166666666667,0.260416666666667
"s029",0.822916666666667,0.84375,0.395833333333333,0.78125,0.0833333333333333,0.0833333333333333,0.25,0.0833333333333333,0.0416666666666667,0.0104166666666667,0.135416666666667,0.03125,0.0520833333333333,0.0625,0.208333333333333,0.09375
"s030",0.604166666666667,0.791666666666667,0.197916666666667,0.75,0.145833333333333,0.0833333333333333,0.25,0.114583333333333,0.114583333333333,0.0416666666666667,0.302083333333333,0.0416666666666667,0.135416666666667,0.0833333333333333,0.239583333333333,0.09375
"s031",0.479166666666667,0.791666666666667,0.697916666666667,0.645833333333333,0.125,0.09375,0.125,0.114583333333333,0.25,0.0520833333333333,0.0104166666666667,0.0520833333333333,0.125,0.0625,0.145833333333333,0.145833333333333
"s032",0.75,0.135416666666667,0.541666666666667,0.458333333333333,0.09375,0.229166666666667,0.177083333333333,0.208333333333333,0.0416666666666667,0.385416666666667,0.09375,0.145833333333333,0.09375,0.229166666666667,0.166666666666667,0.1875
"s033",0.822916666666667,0.75,0.625,0.333333333333333,0.0833333333333333,0.114583333333333,0.135416666666667,0.21875,0.0208333333333333,0.03125,0.114583333333333,0.239583333333333,0.0729166666666667,0.104166666666667,0.125,0.208333333333333
"s034",0.208333333333333,0.802083333333333,0.572916666666667,0.729166666666667,0.229166666666667,0.0833333333333333,0.166666666666667,0.125,0.302083333333333,0.03125,0.104166666666667,0.0104166666666667,0.25,0.0833333333333333,0.15625,0.125
"s035",0.364583333333333,0.375,0.427083333333333,0.427083333333333,0.125,0.145833333333333,0.104166666666667,0.177083333333333,0.34375,0.3125,0.364583333333333,0.208333333333333,0.15625,0.15625,0.104166666666667,0.166666666666667
"s036",0.53125,0.302083333333333,0.260416666666667,0.760416666666667,0.145833333333333,0.177083333333333,0.1875,0.09375,0.1875,0.34375,0.364583333333333,0.0520833333333333,0.135416666666667,0.166666666666667,0.1875,0.09375
"s037",0.447916666666667,0.489583333333333,0.822916666666667,0.854166666666667,0.15625,0.166666666666667,0.0833333333333333,0.0625,0.25,0.1875,0.0104166666666667,0.03125,0.145833333333333,0.15625,0.0729166666666667,0.0520833333333333
"s038",0.489583333333333,0.885416666666667,0.791666666666667,0.65625,0.177083333333333,0.0416666666666667,0.0625,0.135416666666667,0.114583333333333,0,0.03125,0.0520833333333333,0.166666666666667,0.0520833333333333,0.0833333333333333,0.145833333333333
"s039",0.260416666666667,0.489583333333333,0.875,0.645833333333333,0.229166666666667,0.1875,0.0520833333333333,0.145833333333333,0.302083333333333,0.125,0.0208333333333333,0.0416666666666667,0.208333333333333,0.177083333333333,0.0520833333333333,0.145833333333333
