subjID,block,trial,vStim,aStim,match,choice,rt,fb,iti,feedJitter,vFile,aFile,stimOnset,choice,feedbackOnset
6,1,27,1,1,1,1,1102,1,1752,2328,<U+053D>,norm_h.wav,229780,230882,234143
6,1,28,2,1,0,2,1092,1,3052,1369,<U+00010A6C>,norm_h.wav,239240,240332,242642
6,1,29,3,4,0,2,1646,1,3082,1143,<U+0539>,norm_b.wav,247768,249414,250949
6,1,30,4,3,0,2,1039,1,3221,1262,<U+0553>,norm_a.wav,256210,257249,259513
6,1,31,3,4,0,2,1622,1,2301,1076,<U+0539>,norm_b.wav,263858,265480,266971
6,1,32,1,2,0,2,1002,1,2608,1483,<U+053D>,norm_n.wav,271614,272616,275130
6,1,1,3,2,0,1,874,0,3788,2163,<U+0534>,norm_a.wav,8829,9703,13035
6,1,2,3,2,0,2,1286,1,2760,1388,<U+0534>,norm_a.wav,17827,19113,21255
6,1,3,3,3,1,1,1055,1,3282,1412,<U+0534>,norm_i.wav,26581,27636,30026
6,1,4,1,1,1,1,840,1,3164,834,<U+053D>,norm_b.wav,35227,36067,38106
6,1,5,1,1,0,1,938,1,2873,1490,<U+053D>,norm_b.wav,43007,43945,46531
6,1,6,3,2,0,2,1181,1,3057,2328,<U+0534>,norm_a.wav,51618,52799,55991
6,1,7,2,1,0,2,1558,1,2301,1076,<U+10B4>,norm_b.wav,60338,61896,63450
6,1,8,2,1,0,2,1070,1,2720,1654,<U+10B4>,norm_b.wav,68206,69276,71904
6,1,9,2,2,1,2,1475,0,4089,2009,<U+10B4>,norm_a.wav,78037,79512,82090
6,1,10,1,3,0,2,1138,1,2698,1143,<U+053D>,norm_i.wav,86833,87971,90007
6,1,11,2,2,1,1,984,1,3221,1262,<U+10B4>,norm_a.wav,95267,96251,98570
6,1,12,2,2,0,1,1500,1,2863,1101,<U+10B4>,norm_a.wav,103478,104978,106623
6,1,13,1,1,1,1,979,1,2769,1205,<U+053D>,norm_b.wav,111419,112398,114655
6,1,14,1,1,0,1,602,1,2548,1067,<U+053D>,norm_b.wav,119234,119836,122340
6,1,15,3,2,0,2,1202,1,3043,1433,<U+0534>,norm_a.wav,127427,128629,130901
6,1,16,1,3,0,2,1213,1,2286,2176,<U+053D>,norm_i.wav,135221,136434,139431
6,1,17,1,3,0,2,863,1,2685,940,<U+053D>,norm_i.wav,144154,145017,147137
6,1,18,2,1,0,2,828,1,3162,775,<U+10B4>,norm_b.wav,152328,153156,155133
6,1,19,3,2,0,2,862,1,3440,1931,<U+0534>,norm_a.wav,160606,161468,164573
6,1,20,2,2,1,1,798,1,3052,1592,<U+10B4>,norm_a.wav,169659,170457,173283
6,1,21,1,3,0,2,899,1,2608,1726,<U+053D>,norm_i.wav,177926,178825,181684
6,1,22,2,1,0,2,832,1,3374,871,<U+10B4>,norm_b.wav,187101,187933,190002
6,1,23,1,1,1,1,1123,1,3929,1696,<U+053D>,norm_b.wav,195976,197099,199716
6,1,24,3,3,1,1,1287,1,1752,1896,<U+0534>,norm_i.wav,203506,204793,207436
6,1,25,2,2,1,1,809,1,3332,1353,<U+10B4>,norm_a.wav,212801,213610,216191
6,1,26,1,3,0,2,965,1,3082,1760,<U+053D>,norm_i.wav,221316,222281,225114
6,1,27,1,3,0,2,971,1,2097,1667,<U+053D>,norm_i.wav,229255,230226,232967
6,1,28,2,1,0,2,837,1,2369,1435,<U+10B4>,norm_b.wav,237367,238204,240842
6,1,29,3,3,1,1,850,1,2872,1483,<U+0534>,norm_i.wav,245746,246596,249264
6,1,30,3,3,0,1,708,1,2990,535,<U+0534>,norm_i.wav,254291,254999,256867
6,2,1,1,1,1,1,849,1,3374,2328,<U+0534>,norm_h.wav,8438,9287,12796
6,2,2,2,1,0,2,816,1,2286,775,<U+10FA>,norm_h.wav,17128,17944,19937
6,2,3,2,1,0,2,1162,1,2685,1490,<U+10FA>,norm_h.wav,24656,25818,28189
6,2,4,1,1,1,1,981,1,2873,1433,<U+0534>,norm_h.wav,33092,34073,36559
6,2,5,2,2,1,1,1226,1,2301,1592,<U+10FA>,norm_e.wav,40912,42138,44540
6,2,6,3,3,1,1,876,1,3332,1760,<U+10E2>,norm_u.wav,49925,50801,53722
6,2,7,1,1,1,1,1036,1,3788,535,<U+0534>,norm_h.wav,59554,60590,62133
6,2,8,1,1,0,1,951,1,1752,1353,<U+0534>,norm_h.wav,65927,66878,69315
6,2,9,2,1,0,2,886,1,3569,1143,<U+10FA>,norm_h.wav,74927,75813,78101
6,2,10,3,2,0,2,1220,1,2990,1435,<U+10E2>,norm_e.wav,83130,84350,86606
6,2,11,1,3,0,2,1287,1,2097,834,<U+0534>,norm_u.wav,90735,92022,93614
6,2,12,3,3,1,1,755,1,3440,2176,<U+10E2>,norm_u.wav,99082,99837,103294
6,2,13,1,3,0,2,857,1,2698,1076,<U+0534>,norm_u.wav,108029,108886,111136
6,2,14,1,3,0,2,873,1,2863,1667,<U+0534>,norm_u.wav,116034,116907,119745
6,2,15,2,2,1,1,1047,1,3043,1931,<U+10FA>,norm_e.wav,124819,125866,128791
6,2,16,3,3,1,1,962,1,3162,1412,<U+10E2>,norm_u.wav,133987,134949,137428
6,2,17,2,1,0,2,907,1,3057,1726,<U+10FA>,norm_h.wav,142522,143429,146293
6,2,18,2,1,0,2,852,1,2760,1654,<U+10FA>,norm_h.wav,151096,151948,154790
6,2,19,3,2,0,2,839,1,3052,2009,<U+10E2>,norm_e.wav,159886,160725,163927
6,2,20,2,2,1,1,1119,1,3082,871,<U+10FA>,norm_e.wav,169054,170173,171963
6,2,21,2,2,0,1,791,1,4089,2163,<U+10FA>,norm_e.wav,178096,178887,182304
6,2,22,1,3,0,2,1006,1,3929,1205,<U+0534>,norm_u.wav,188265,189271,191515
6,2,23,3,2,0,2,768,1,2548,1388,<U+10E2>,norm_e.wav,196093,196861,199520
6,2,24,2,1,0,2,920,1,3164,1696,<U+10FA>,norm_h.wav,204727,205647,208468
6,2,25,2,1,0,2,867,1,2608,1101,<U+10FA>,norm_h.wav,213114,213981,216247
6,2,26,1,3,0,2,1144,1,2398,1067,<U+0534>,norm_u.wav,220673,221817,223768
6,2,27,2,2,1,1,681,1,2720,1483,<U+10FA>,norm_e.wav,228532,229213,232060
6,2,28,1,1,1,1,840,1,3282,1896,<U+0534>,norm_h.wav,237379,238219,241309
6,2,29,3,3,1,1,1035,1,2769,940,<U+10E2>,norm_u.wav,246110,247145,249082
6,2,30,3,3,0,1,667,1,3221,1262,<U+10E2>,norm_u.wav,254331,254998,257635
6,3,1,2,1,0,1,1345,0,2769,1592,<U+10E2>,norm_r.wav,7833,9178,11456
6,3,2,2,1,0,2,1033,1,3082,1076,<U+10E2>,norm_r.wav,16573,17606,19687
6,3,3,2,1,0,2,692,1,2873,834,<U+10E2>,norm_r.wav,24595,25287,27463
6,3,4,3,3,1,1,883,1,2286,1067,<U+10A7>,norm_ü.wav,31777,32660,34878
6,3,6,1,1,1,1,953,1,3788,775,<U+10FA>,norm_r.wav,48213,49166,51031
6,3,7,2,2,1,2,770,0,2608,1667,<U+10E2>,norm_g.wav,55673,56443,59372
6,3,8,3,2,0,2,1543,1,2369,1435,<U+10A7>,norm_g.wav,63772,65315,67246
6,3,9,3,2,0,2,1065,1,2863,1101,<U+10A7>,norm_g.wav,72141,73206,75286
6,3,10,1,3,0,2,1633,1,3057,1726,<U+10FA>,norm_ü.wav,80371,82004,84142
6,3,11,3,2,0,2,897,1,3374,1760,<U+10A7>,norm_g.wav,89559,90456,93349
6,3,12,3,2,0,2,1044,1,3162,1262,<U+10A7>,norm_g.wav,98556,99600,101847
6,3,13,1,3,0,2,1165,1,2301,1696,<U+10FA>,norm_ü.wav,106193,107358,109926
6,3,14,3,3,1,1,729,1,1752,1205,<U+10A7>,norm_ü.wav,113715,114444,116955
6,3,15,2,2,1,1,1139,1,3929,1412,<U+10E2>,norm_g.wav,122914,124053,126371
6,3,16,2,2,0,1,647,1,2698,2163,<U+10E2>,norm_g.wav,131106,131753,135299
6,3,17,3,3,1,1,819,1,4089,535,<U+10A7>,norm_ü.wav,141421,142240,144000
6,3,18,2,2,1,1,1776,1,2760,1433,<U+10E2>,norm_g.wav,148803,150579,152276
6,3,19,3,3,1,1,980,1,2685,1388,<U+10A7>,norm_ü.wav,156995,157975,160427
6,3,20,1,1,1,1,831,1,3164,1896,<U+10FA>,norm_r.wav,165634,166465,169575
6,3,21,1,1,0,1,980,1,3569,940,<U+10FA>,norm_r.wav,175177,176157,178148
6,3,22,3,2,0,2,866,1,3221,1490,<U+10A7>,norm_g.wav,183398,184264,186929
6,3,23,2,1,0,2,1215,1,3282,2009,<U+10E2>,norm_r.wav,192241,193456,196284
6,3,24,2,1,0,2,827,1,2872,1654,<U+10E2>,norm_r.wav,201200,202027,204889
6,3,25,1,1,1,1,1216,1,3043,2176,<U+10FA>,norm_r.wav,209976,211192,214193
6,3,26,1,1,0,1,905,1,2398,1143,<U+10FA>,norm_r.wav,218629,219534,221800
6,3,27,2,1,0,2,901,1,2720,1931,<U+10E2>,norm_r.wav,226560,227461,230535
6,3,28,1,3,0,2,868,1,3440,1483,<U+10FA>,norm_ü.wav,236009,236877,239527
6,3,29,2,2,1,1,1143,1,2990,2328,<U+10E2>,norm_g.wav,244554,245697,248923
6,3,30,3,2,0,2,799,1,3052,1353,<U+10A7>,norm_g.wav,254021,254820,257406
6,4,1,2,2,1,1,851,1,3162,1654,<U+10F0>,norm_ü.wav,8204,9055,11887
6,4,2,3,2,0,2,990,1,3788,940,<U+10DA>,norm_ü.wav,17719,18709,20702
6,4,3,2,2,1,1,794,1,2097,2009,<U+10F0>,norm_ü.wav,24828,25622,28882
6,4,4,1,3,0,1,1329,0,2872,1143,<U+10DF>,norm_m.wav,33817,35146,36994
6,4,5,1,3,0,2,909,1,2863,1262,<U+10DF>,norm_m.wav,41897,42806,45202
6,4,6,1,3,0,2,1712,1,3440,2176,<U+10DF>,norm_m.wav,50687,52399,54899
6,4,7,3,3,1,1,732,1,2301,1433,<U+10DA>,norm_m.wav,59237,59969,62707
6,4,8,1,1,1,2,1444,0,2398,1726,<U+10DF>,norm_l.wav,67138,68582,70893
6,4,9,2,1,0,2,1006,1,2369,1412,<U+10F0>,norm_l.wav,75305,76311,78757
6,4,10,1,1,1,1,767,1,3569,1353,<U+10DF>,norm_l.wav,84363,85130,87747
6,4,11,1,1,0,1,770,1,3043,1388,<U+10DF>,norm_l.wav,92833,93603,96262
6,4,12,3,3,1,1,1409,1,3164,1101,<U+10DA>,norm_m.wav,101469,102878,104615
6,4,13,3,3,0,1,705,1,2769,1483,<U+10DA>,norm_m.wav,109412,110117,112926
6,4,14,3,2,0,2,1043,1,2685,1490,<U+10DA>,norm_ü.wav,117648,118691,121182
6,4,15,1,3,0,2,1809,1,2760,1076,<U+10DF>,norm_m.wav,125972,127781,129088
6,4,16,2,1,0,2,1061,1,2548,1931,<U+10F0>,norm_l.wav,133671,134732,137641
6,4,17,3,3,1,1,1796,1,3374,775,<U+10DA>,norm_m.wav,143048,144844,145854
6,4,18,3,3,0,1,838,1,3929,871,<U+10DA>,norm_m.wav,151817,152655,154732
6,4,19,2,2,1,2,1268,0,4089,1205,<U+10F0>,norm_ü.wav,160866,162134,164115
6,4,20,2,2,0,1,538,1,3282,2163,<U+10F0>,norm_ü.wav,169428,169966,173624
6,4,21,2,1,0,2,902,1,3082,1696,<U+10F0>,norm_l.wav,178739,179641,182473
6,4,22,2,1,0,2,969,1,2698,535,<U+10F0>,norm_l.wav,187208,188177,189774
6,4,23,3,3,1,1,1044,1,2608,1435,<U+10DA>,norm_m.wav,194425,195469,197892
6,4,25,1,1,0,1,660,1,3332,1896,<U+10DF>,norm_l.wav,211860,212520,215793
6,4,26,1,3,0,2,1486,1,3052,834,<U+10DF>,norm_m.wav,220878,222364,223745
6,4,27,2,2,1,1,1001,1,2990,2328,<U+10F0>,norm_ü.wav,228763,229764,233132
6,4,28,1,1,1,1,1569,1,2720,1592,<U+10DF>,norm_l.wav,237898,239467,241534
6,4,29,2,1,0,2,798,1,3057,1067,<U+10F0>,norm_l.wav,246626,247424,249738
6,4,30,2,1,0,2,777,1,2286,1760,<U+10F0>,norm_l.wav,254068,254845,257862
6,2,1,3,3,1,1,1304,1,3282,1592,<U+10B0>,norm_au.wav,8326,9630,11951
6,2,2,4,4,1,1,1022,1,2760,1896,<U+056E>,norm_g.wav,16746,17768,20682
6,2,3,3,3,1,2,1294,0,2720,1726,<U+10B0>,norm_au.wav,25435,26729,29205
6,2,4,2,2,1,1,977,1,3332,1076,<U+10A7>,norm_r.wav,34598,35575,37711
6,2,5,4,4,1,1,825,1,3269,1760,<U+056E>,norm_g.wav,43015,43840,46804
6,2,6,3,4,0,2,1037,1,3043,1412,<U+10B0>,norm_g.wav,51892,52929,55345
6,2,7,4,3,0,2,926,1,1752,1931,<U+056E>,norm_au.wav,59134,60060,63100
6,2,8,3,4,0,1,845,0,2301,1388,<U+10B0>,norm_g.wav,67434,68279,70859
6,2,9,4,3,0,2,881,1,3374,1483,<U+056E>,norm_au.wav,76276,77157,79790
6,2,10,2,2,1,1,1079,1,2097,1205,<U+10A7>,norm_r.wav,83924,85003,87174
6,2,11,3,4,0,2,986,1,2608,1262,<U+10B0>,norm_g.wav,91812,92798,95107
6,2,12,2,2,1,1,1004,1,2698,535,<U+10A7>,norm_r.wav,99849,100853,102415
6,2,13,1,2,0,2,1110,1,2398,2328,<U+10B2>,norm_r.wav,106856,107966,111213
6,2,14,3,3,1,1,1275,1,2869,1667,<U+10B0>,norm_au.wav,116127,117402,119832
6,2,15,2,1,0,2,1063,1,2863,834,<U+10A7>,norm_i.wav,124726,125789,127603
6,2,16,1,1,1,1,1056,1,2990,775,<U+10B2>,norm_i.wav,132622,133678,135438
6,2,17,4,4,1,1,882,1,2548,2163,<U+056E>,norm_g.wav,140020,140902,144221
6,2,18,2,1,0,2,1449,1,2286,2009,<U+10A7>,norm_i.wav,148540,149989,152583
